"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"95";50;100;1;0;1;1;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999;0,9999
"96";50;100;1;0;1;10;0,0401;0,0401;0,0401;0,15785;0,15785;0,15785;0,1639;0,1639;0,1639;0,16405;0,16405;0,16405;0,16418;0,16418;0,16418
"97";50;100;1;0;1;2;0,95061;0,95061;0,95061;0,98051;0,98051;0,98051;0,98156;0,98156;0,98156;0,9819;0,98189;0,98189;0,98193;0,98193;0,98193
"98";50;100;1;0;1;4;0,38191;0,38189;0,38189;0,63968;0,63966;0,63966;0,64902;0,64902;0,64902;0,64993;0,64992;0,64992;0,65083;0,65082;0,65082
"99";50;20;0;0;1;0,1;0,00315;0,00314999999999999;0,00314999999999999;0,04955;0,04955;0,04955;0,04104;0,04104;0,04104;0,04964;0,04964;0,04964;0,04979;0,04979;0,04979
"100";50;20;0;0;1;0,25;0,00454;0,00453999999999999;0,00453999999999999;0,04952;0,04952;0,04952;0,04112;0,04112;0,04112;0,05016;0,05016;0,05016;0,05069;0,05069;0,05069
"101";50;20;0;0;1;0,5;0,01161;0,01161;0,01161;0,04839;0,04839;0,04839;0,03992;0,03992;0,03992;0,04977;0,04977;0,04977;0,04972;0,04972;0,04972
"102";50;20;0;0;1;1;0,05046;0,0504599999999999;0,0504599999999999;0,05322;0,05321;0,05321;0,0442;0,0442;0,0442;0,05394;0,05394;0,05394;0,05146;0,05146;0,05146
"103";50;20;0;0;1;10;0,22338;0,22338;0,22338;0,05931;0,05931;0,05931;0,05043;0,05043;0,05043;0,05079;0,05079;0,05079;0,05053;0,05053;0,05053
"104";50;20;0;0;1;2;0,13414;0,13413;0,13413;0,05681;0,05681;0,05681;0,04875;0,04875;0,04875;0,05383;0,05383;0,05383;0,05133;0,05133;0,05133
"105";50;20;0;0;1;4;0,19516;0,19516;0,19516;0,05777;0,05777;0,05777;0,04896;0,04895;0,04895;0,05092;0,05092;0,05092;0,04982;0,04982;0,04982
"106";50;20;1;0;1;0,1;0,99988;0,99988;0,99988;1;1;1;1;1;1;1;1;1;1;1;1
"107";50;20;1;0;1;0,25;0,99972;0,99972;0,99972;1;1;1;1;1;1;1;1;1;1;1;1
"108";50;20;1;0;1;0,5;0,99827;0,99827;0,99827;0,99987;0,99987;0,99987;0,99981;0,99981;0,99981;0,99989;0,99989;0,99989;0,99989;0,99989;0,99989
"109";50;20;1;0;1;1;0,96235;0,96234;0,96234;0,96036;0,96035;0,96035;0,95293;0,95293;0,95293;0,96054;0,96054;0,96054;0,95848;0,95848;0,95848
"110";50;20;1;0;1;10;0,26207;0,26207;0,26207;0,08108;0,08107;0,08107;0,06997;0,06997;0,06997;0,07039;0,07039;0,07039;0,07012;0,07011;0,07011
"111";50;20;1;0;1;2;0,72717;0,72716;0,72716;0,55269;0,55269;0,55269;0,52161;0,52161;0,52161;0,5392;0,5392;0,5392;0,53036;0,53034;0,53034
"112";50;20;1;0;1;4;0,42282;0,42282;0,42282;0,19899;0,19898;0,19898;0,17794;0,17794;0,17794;0,18228;0,18228;0,18228;0,18001;0,18001;0,18001
"113";50;50;0;0;1;0,1;0,05247;0,05247;0,05247;0,04969;0,0496799999999999;0,0496799999999999;0,04969;0,04969;0,04969;0,04979;0,04979;0,04979;0,04979;0,04979;0,04979
"114";50;50;0;0;1;0,25;0,05162;0,05162;0,05162;0,04884;0,04884;0,04884;0,04884;0,04884;0,04884;0,04953;0,04952;0,04952;0,04953;0,04952;0,04952
"115";50;50;0;0;1;0,5;0,0506;0,0506;0,0506;0,04827;0,04827;0,04827;0,04827;0,04827;0,04827;0,04978;0,04978;0,04978;0,04978;0,04978;0,04978
"116";50;50;0;0;1;1;0,04959;0,04959;0,04959;0,04684;0,04684;0,04684;0,04684;0,04684;0,04684;0,04955;0,04955;0,04955;0,04955;0,04955;0,04955
"117";50;50;0;0;1;10;0,05423;0,05422;0,05422;0,05138;0,05137;0,05137;0,05138;0,05138;0,05138;0,05147;0,05147;0,05147;0,05147;0,05147;0,05147
"118";50;50;0;0;1;2;0,05105;0,05105;0,05105;0,04826;0,04826;0,04826;0,04826;0,0482399999999999;0,0482399999999999;0,05018;0,05018;0,05018;0,05018;0,05018;0,05018
"119";50;50;0;0;1;4;0,05142;0,05142;0,05142;0,04862;0,04862;0,04862;0,04862;0,04862;0,04862;0,04928;0,04928;0,04928;0,04928;0,04928;0,04928
"120";50;50;1;0;1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"121";50;50;1;0;1;0,25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"122";50;50;1;0;1;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"123";50;50;1;0;1;1;0,99884;0,99884;0,99884;0,99874;0,99874;0,99874;0,99874;0,99874;0,99874;0,99884;0,99884;0,99884;0,99884;0,99884;0,99884
"124";50;50;1;0;1;10;0,10996;0,10996;0,10996;0,10551;0,10551;0,10551;0,10551;0,10551;0,10551;0,10574;0,10574;0,10574;0,10574;0,10574;0,10574
"125";50;50;1;0;1;2;0,87813;0,87813;0,87813;0,87277;0,87275;0,87275;0,87277;0,87277;0,87277;0,87611;0,8761;0,8761;0,87611;0,8761;0,8761
"126";50;50;1;0;1;4;0,39688;0,39687;0,39687;0,38695;0,38695;0,38695;0,38695;0,38695;0,38695;0,38907;0,38905;0,38905;0,38907;0,38905;0,38905
